text,sentiment,clean_text
"@AmericanAir i was just severely upset by the rude cs rep. I get she's prob stressed, but I am too! An ""aw, let me help"" cld mk it btr",negative,i was just severely upset by the rude cs rep  i get she s prob stressed  but i am too  an  aw  let me help  cld mk it btr
@USAirways is charging me $200 to NOT take my flight. Lol. That is the last time I fly with them.,negative,is charging me  200 to not take my flight  lol  that is the last time i fly with them 
"@united Doumented via link. However, now that it has been over four months with no response, what do you suggest? Or shall I not expect one?",negative,doumented via link  however  now that it has been over four months with no response  what do you suggest  or shall i not expect one 
@united okay ase24766m. Find our luggage.,negative,okay ase24766m  find our luggage 
@USAirways so I would have to go though the entire process again just to get you people on the phone???????? #usairwayssucks,negative,so i would have to go though the entire process again just to get you people on the phone          usairwayssucks
"@AmericanAir couldn't get anyone on the phone all day, the flight you rebooked had me missing a conference.We won't be on flt 1568 tomorrow.",negative,couldn t get anyone on the phone all day  the flight you rebooked had me missing a conference we won t be on flt 1568 tomorrow 
"@USAirways @AmericanAir major issues getting out of Boston, but your crew has been exceptional. Let's see how things roll out in Philly.",positive,major issues getting out of boston  but your crew has been exceptional  let s see how things roll out in philly 
"@JetBlue figured it out 4 flight 2morrow. Hard to believe with oil so low, and the killing u make that even part of a hotel can't be comp'd",negative,figured it out 4 flight 2morrow  hard to believe with oil so low  and the killing u make that even part of a hotel can t be comp d
@AmericanAir Filled out a baggage claim over the phone last night. Check the status to discover the rep confused Arkansas for Alaska 😒,negative,filled out a baggage claim over the phone last night  check the status to discover the rep confused arkansas for alaska  
“@JetBlue: Our fleet's on fleek. http://t.co/MB0hVfqB1t”-see what ihop started 😑,neutral,  jetblue  our fleet s on fleek  what ihop started  
"@AmericanAir I'm flying with your competitor today, starts with an U and ends with D. I will never make that mistake again. #americanforlife",positive,i m flying with your competitor today  starts with an u and ends with d  i will never make that mistake again   americanforlife
"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/FRhuXiB8II",neutral,ceo  pilots among ardent fans  wall street   poughkeepsie journal
"@united basically, I need to leave from Hawaii Late Flight evening (midnight) and get back to Philly Late Flight Monday night. Most trips get me in Tues",neutral,basically  i need to leave from hawaii late flight evening  midnight  and get back to philly late flight monday night  most trips get me in tues
@JetBlue still waiting to board and see if they will give us the exit row.,negative,still waiting to board and see if they will give us the exit row 
"@united its ridic you cant transfer credit, you have my $400 &amp; youre taking $200 of it for Cancelled Flightling. Atleast let me keep the credit damn",negative,its ridic you cant transfer credit  you have my  400  amp  youre taking  200 of it for cancelled flightling  atleast let me keep the credit damn
@AmericanAir 235.  We made it to Seattle...,neutral,235  we made it to seattle   
@JetBlue Cancelled Flightling tickets for 3 best friends going on vacation and never told us #jetblue #fixthis #ripoff @ZKatcher @bretharold,negative,cancelled flightling tickets for 3 best friends going on vacation and never told us  jetblue  fixthis  ripoff
“@JetBlue: Our fleet's on fleek. http://t.co/tLGoihqkvS” 😐 make it stop.,negative,  jetblue  our fleet s on fleek    make it stop 
"@USAirways so she has to take a Late Flightr flight booked by her corporate (Disney) travel dept, as your agent offered little help",negative,so she has to take a late flightr flight booked by her corporate  disney  travel dept  as your agent offered little help
@united DM sent as requested. Make sure you follow back so you can DM me back. Thanks,neutral,dm sent as requested  make sure you follow back so you can dm me back  thanks
.@SouthwestAir Thx for the follow up. Just sent DM,positive,  southwestair thx for the follow up  just sent dm
@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold,negative,how r u supposed to change flights when u can t get thru to reservations   onehouronhold
@united #unitedairlines so is it 6:20 pm or 12:20?   ORD ABQ 3709.   I can't even take a walk without missing a change.,negative, unitedairlines so is it 6 20 pm or 12 20  ord abq 3709  i can t even take a walk without missing a change 
@united thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.,negative,thanks for nothing  really    60 minute wait times when i ve had to call back 4x  that s 240minute wait times 
Well @AmericanAir we won't be flying you. Rebooked on Jetblue. With credits (that actually work) it was free!,negative,well we won t be flying you  rebooked on jetblue  with credits  that actually work  it was free 
@united Second day &amp; attempt trying to leave IAD &amp; I'm on another plane delayed for mechanical issues. Over an hour delayed!,negative,second day  amp  attempt trying to leave iad  amp  i m on another plane delayed for mechanical issues  over an hour delayed 
@SouthwestAir YOU ARE THE EASIEST AIRLINE TO DEAL WITH.. I LOVEEEE YOU SO MUCH,positive,you are the easiest airline to deal with   i loveeee you so much
@SouthwestAir breaking my heart at BWI 9 hrs @business,negative,breaking my heart at bwi 9 hrs
@AmericanAir 140 characters aren't enough to describe how inconsiderate your employees are,negative,140 characters aren t enough to describe how inconsiderate your employees are
@SouthwestAir just announced non-stop flights to Dallas from Columbus. Well next time @iGotMonte best you'll have less time airport hopin 😂😂,neutral,just announced non stop flights to dallas from columbus  well next time best you ll have less time airport hopin   
@SouthwestAir Is there anyway to pay more to get priority boarding A 1-15?,neutral,is there anyway to pay more to get priority boarding a 1 15 
"@united hi guys, do you have a general enquires email address please? Thanks David.",neutral,hi guys  do you have a general enquires email address please  thanks david 
@USAirways want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke,negative,want to bump up my seet to first class for two cancelled flightlations in 24hrs   what a joke
"@united I'm aware of the flight details, thanks. Three hours Late Flight a crew that could not give less of a shit",negative,i m aware of the flight details  thanks  three hours late flight a crew that could not give less of a shit
@USAirways - almost 2 hrs 30 mins on hold - any idea how much longer?,negative,  almost 2 hrs 30 mins on hold   any idea how much longer 
@USAirways cust serv reps who are unable to change reservations in your system Check in unaware of Cancelled Flights that I got word on night before,negative,cust serv reps who are unable to change reservations in your system check in unaware of cancelled flights that i got word on night before
“@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc” Really Jet Blue? Lmao,neutral,  jetblue  our fleet s on fleek  really jet blue  lmao
@USAirways can I bring a copy or photo of my baby's birth certificate for the flight? I feel uncomfortable traveling with the real thing.,neutral,can i bring a copy or photo of my baby s birth certificate for the flight  i feel uncomfortable traveling with the real thing 
@usairways I’m cool with weather delays etc. But lying and deceiving passengers to keep them from changing is reprehensible. #yousuck,negative,i m cool with weather delays etc  but lying and deceiving passengers to keep them from changing is reprehensible   yousuck
@USAirways  to arrive the plane I'm sitting on needs to take off...wish someone would tell us what the holdup is,negative,to arrive the plane i m sitting on needs to take off   wish someone would tell us what the holdup is
@SouthwestAir is there a link to a site that displays any delays or Cancelled Flightations of flights to and from @DallasLoveField?,neutral,is there a link to a site that displays any delays or cancelled flightations of flights to and from
@USAirways What's the point of a baggage claim ticket if they don't scan it  for tracking?,negative,what s the point of a baggage claim ticket if they don t scan it for tracking 
@JetBlue PR-friendly tweets don't help drive accountability. Hope Mr. Hayes takes note.,negative,pr friendly tweets don t help drive accountability  hope mr  hayes takes note 
@JetBlue we got our luggage after waiting 40 mins and went home right after. Not very family and ADA friendly waiting that long w no chairs.,negative,we got our luggage after waiting 40 mins and went home right after  not very family and ada friendly waiting that long w no chairs 
@JetBlue Unhappy with 4 hour delayed flight.. Missed dinner,negative,unhappy with 4 hour delayed flight   missed dinner
"@SouthwestAir Hi! Thanks! Do you have an exact link to that specific page on your site you can share - or is it under ""Flight Status"":? Thx!",neutral,hi  thanks  do you have an exact link to that specific page on your site you can share   or is it under  flight status    thx 
@JetBlue So what about the plane stuck in Newburgh won't start.  It that weather reLate Flightd as well.  These passengers on plane for 10 hrs.,negative,so what about the plane stuck in newburgh won t start  it that weather relate flightd as well  these passengers on plane for 10 hrs 
@united As a Million Miler I've been delayed plenty. NEVER in the amateurish way@SilverAirwsys does it. I'd be embarrassed to be affiliated.,negative,as a million miler i ve been delayed plenty  never in the amateurish way silverairwsys does it  i d be embarrassed to be affiliated 
@AmericanAir @DAI_President Good luck at DFW this evening AA!,positive,good luck at dfw this evening aa 
@JetBlue all they said was delayed due to mechanical issues. I'm looking for something a little more specific.,negative,all they said was delayed due to mechanical issues  i m looking for something a little more specific 
@SouthwestAir great day in the air. http://t.co/YNc2ZUt4zz,positive,great day in the air 
"@united still can't dm, it's LH7631 on 21/2/15",negative,still can t dm  it s lh7631 on 21 2 15
@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒,negative,i thought being a mosaic member had  perks  the best part is instead of checking the extra 5lbs i m carrying it on  
@JetBlue Are departing flights from Boston heavily delayed? Flying out tomorrow morning ...,neutral,are departing flights from boston heavily delayed  flying out tomorrow morning    
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,neutral,        when are you guys going to start flying to paris  you re welcome  
@united same flight number different flight. I'm heading to MPLS,neutral,same flight number different flight  i m heading to mpls
"@JetBlue your customer services agent Jorge at Orlando International is rude and disrespectful, I never want to deal with your bullshit ever",negative,your customer services agent jorge at orlando international is rude and disrespectful  i never want to deal with your bullshit ever
@JetBlue what crew? No one here is helping.,negative,what crew  no one here is helping 
@SouthwestAir why can't you help me after you made mistake and dropped my early bird check in on your end?  Where is the LUV?,negative,why can t you help me after you made mistake and dropped my early bird check in on your end  where is the luv 
............. RT @JetBlue: Our fleet's on fleek. http://t.co/X7iLzqdwe2,neutral,              rt our fleet s on fleek 
@SouthwestAir I have the DM from @SouthwestVerity if needed,neutral,i have the dm from if needed
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,negative,is it normal to receive no reply from central baggage  baggageissues  smh
@USAirways on hold for 2 hours. You know what just keep my money,negative,on hold for 2 hours  you know what just keep my money
"@SouthwestAir Thanks for the text, but not exactly timely 8). Data throughout issues today maybe? http://t.co/aaU9MKA6Zy",negative,thanks for the text  but not exactly timely 8   data throughout issues today maybe 
@JetBlue I will when I land.,neutral,i will when i land 
@united 4595. We are now going back to the gate b/c of something overheating after sitting out here for 3+ hours.Love United but this stinks,negative,4595  we are now going back to the gate b c of something overheating after sitting out here for 3  hours love united but this stinks
@SouthwestAir I did ....it's just been such a disheartening experience for me and my family...and a lot of taxi money wasted.,negative,i did     it s just been such a disheartening experience for me and my family   and a lot of taxi money wasted 
"@JetBlue continue button generated a trip to ""plan your trip page""
regardless of how far along I was in Flight Booking Problems process
hint: the end of it",negative,continue button generated a trip to  plan your trip page  regardless of how far along i was in flight booking problems process hint  the end of it
@SouthwestAir Who can I contact about requesting a charity donation? #ThankYou,neutral,who can i contact about requesting a charity donation   thankyou
@AmericanAir no standby line update online or on app either is troubling,negative,no standby line update online or on app either is troubling
@AmericanAir FYI...call stilling getting dropped.  After an hour of continuous dialing. Attempted to Cancelled Flight online but not able to. HELP!!!,negative,fyi   call stilling getting dropped  after an hour of continuous dialing  attempted to cancelled flight online but not able to  help   
@united flight attendant regains karma by giving big sweaty dad cold water. Guy was running &amp; carrying his daughter.  Last one onboard.,positive,flight attendant regains karma by giving big sweaty dad cold water  guy was running  amp  carrying his daughter  last one onboard 
@AmericanAir there is no local agent! There is no person to answer our questions and their phone service is terrible.,negative,there is no local agent  there is no person to answer our questions and their phone service is terrible 
@AmericanAir would also like say kind move on adding the points !,positive,would also like say kind move on adding the points  
@USAirways but in the meantime I'll be sleeping on a park bench on dadeland st.  Thanks guys!,negative,but in the meantime i ll be sleeping on a park bench on dadeland st  thanks guys 
@AmericanAir my flight was Cancelled Flightled I called they said they'd call back in 1:36. They did And hung up now saying I have to wait 2 hrs!!,negative,my flight was cancelled flightled i called they said they d call back in 1 36  they did and hung up now saying i have to wait 2 hrs  
@AmericanAir just landed - 3hours Late Flight - and now we need to wait TWENTY MORE MINUTES for a gate!  I have patience but none for incompetence.,negative,just landed   3hours late flight   and now we need to wait twenty more minutes for a gate  i have patience but none for incompetence 
@USAirways it doesn't take 6 days to respond to an already open case!,negative,it doesn t take 6 days to respond to an already open case 
@USAirways I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing,positive,i m glad retweeted otherwise you would have to ignore the numerous tweets i sent  you all are fucking amazing
@SouthwestAir sure can! Just a second.,neutral,sure can  just a second 
@SouthwestAir I thought you guys were the best airline...I've been on hold for an hour!,negative,i thought you guys were the best airline   i ve been on hold for an hour 
@USAirways 1500 characters are not enough to convey the issue. Was directed to emailmailto:customer.relations@usairways.com unmonitored. BAD,negative,1500 characters are not enough to convey the issue  was directed to emailmailto customer relations usairways com unmonitored  bad
@JetBlue yes he and all the princesses. Trying to get to the #glassslipperchallenge at WDW.,neutral,yes he and all the princesses  trying to get to the  glassslipperchallenge at wdw 
@JetBlue just a very rude rep while trying to book family vacation using trvl credit. on phone w/ new rep now who is being very helpful,negative,just a very rude rep while trying to book family vacation using trvl credit  on phone w  new rep now who is being very helpful
"@USAirways ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/0JJT4X3YxG",neutral, airport snow removal method  22     keep up the good work folks  this is where cessna s become 747 s 
"@usairways Yes. Works in Firefox. 

Can do everything but finish purchase. Button turns gray, never submits. For a couple weeks now.",negative,yes  works in firefox  can do everything but finish purchase  button turns gray  never submits  for a couple weeks now 
@JetBlue what are the chances of one of your flights leaving at 6am out of Newark nj being Cancelled Flightled tomorrow?,neutral,what are the chances of one of your flights leaving at 6am out of newark nj being cancelled flightled tomorrow 
"@united Thanks for nothing. Next time I'll bring a whole extra suitcase for my 1 extra pound. That makes sense, right?",negative,thanks for nothing  next time i ll bring a whole extra suitcase for my 1 extra pound  that makes sense  right 
"@JetBlue @martysg you *know* how I love you, JB, but honestly, when you have complex feedback, those pull-down sub-option forms=maddening.",negative,you  know  how i love you  jb  but honestly  when you have complex feedback  those pull down sub option forms maddening 
@AmericanAir @MurphyJulie it took them 6 hours to call me back. Then it disconnected twice. 😢 I'll never get back to work,negative,it took them 6 hours to call me back  then it disconnected twice    i ll never get back to work
@USAirways I'm trying to Request Missed Mileage and it keeps saying it can't my flight from 2/13. Then it says call the number.,negative,i m trying to request missed mileage and it keeps saying it can t my flight from 2 13  then it says call the number 
“@USAirways: @hegshmeg O” thank you for that elaborate response,positive,  usairways  o  thank you for that elaborate response
@united - ok noted. All details will be DM'ed to you shortly.,neutral,  ok noted  all details will be dm ed to you shortly 
@AmericanAir done,neutral,done
@united I need to speak with a supervisor or someone who is #willing to help me use a credit I have ASAP.  #letsworktogether,negative,i need to speak with a supervisor or someone who is  willing to help me use a credit i have asap   letsworktogether
@SouthwestAir any particular reason it's 20+ minutes and counting to speak to a human being?,negative,any particular reason it s 20  minutes and counting to speak to a human being 
"@SouthwestAir @TMadCLE Flying with you in April, first time on southwest. Can't wait!!! Flew American airlines last time. Was meh.",positive,flying with you in april  first time on southwest  can t wait    flew american airlines last time  was meh 
😕 RT @JetBlue: Our fleet's on fleek. http://t.co/4KH92mKoTZ,neutral,  rt our fleet s on fleek 
@SouthwestAir @Imaginedragons @beatsmusic I'd love to hear them live at @VelourLive @velourlive this saturday! #destinationdragons,positive,i d love to hear them live at this saturday   destinationdragons
@SouthwestAir rocks - @AmericanAir horror,negative,rocks   horror
@AmericanAir originating at SFO and going to LAX.,neutral,originating at sfo and going to lax 
"@SouthwestAir MY BAGS ARE. 1st woman said it would be there on the next flight... not there, so now Ive got nothing. Big wigs help me out",negative,my bags are  1st woman said it would be there on the next flight    not there  so now ive got nothing  big wigs help me out
@united I have those notifications yet the staff on board say that is not accurate and they have no departure time.,negative,i have those notifications yet the staff on board say that is not accurate and they have no departure time 
@SouthwestAir Hello - been on hold for extremely long time. Have confirmation # &amp; can't get boarding pass. Have tried numerous times!!,negative,hello   been on hold for extremely long time  have confirmation    amp  can t get boarding pass  have tried numerous times  
@JetBlue ETA for flight 802 into Orlando this morning,neutral,eta for flight 802 into orlando this morning
@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i,negative,this is really unhelpful  why can t i rebook online 
@JetBlue Flight 136 departs 2:14 AM  Finally!!!  Arrived JFK with no psgrs at 5:39 PM.  That's a long flight. AKA BUS http://t.co/KfKjF1ZtGi,negative,flight 136 departs 2 14 am finally    arrived jfk with no psgrs at 5 39 pm  that s a long flight  aka bus
@AmericanAir thanks for following up- it finally worked!! Fingers crossed the new flight works.,positive,thanks for following up  it finally worked   fingers crossed the new flight works 
"@united Would be nice if @staralliance partner tickets that don't provide full PQM credit are more obvious before purchase. Lost 1,200 miles",negative,would be nice if partner tickets that don t provide full pqm credit are more obvious before purchase  lost 1 200 miles
"@USAirways captain on flight 1712 from PHX-PHL at 3:55 tonight was hilarious. ""Greetings from the pointy end of the airplane"" haha thanks!",positive,captain on flight 1712 from phx phl at 3 55 tonight was hilarious   greetings from the pointy end of the airplane  haha thanks 
@SouthwestAir All flights are booked . They are saying I have to wait until tomorrow.,negative,all flights are booked   they are saying i have to wait until tomorrow 
"@JetBlue I did not! She's a woman who's a lead, she was working at gate c26.",positive,i did not  she s a woman who s a lead  she was working at gate c26 
@AmericanAir which one.?i have been booked on 6 different ones in the past 2 days,negative,which one  i have been booked on 6 different ones in the past 2 days
@JetBlue I will try that. Thanks! If all else fails I will just do the old fashioned method tomorrow morning.,positive,i will try that  thanks  if all else fails i will just do the old fashioned method tomorrow morning 
@AmericanAir I saw it finally come through on the mobile app. However it's for tomorrow and I have meetings tonight that I'm trying to make.,neutral,i saw it finally come through on the mobile app  however it s for tomorrow and i have meetings tonight that i m trying to make 
@SouthwestAir One heck of an airline http://t.co/CyoOnZfTdC,positive,one heck of an airline
@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,negative,broke the stroller my wife and baby gate checked  they told her it s not their problem  calling the a list preferred line now 
"@AmericanAir I didn't want to Cancelled Flight, I wanted to take someone off and keep my price. Held at 402, at 10am today 440, now 530",negative,i didn t want to cancelled flight  i wanted to take someone off and keep my price  held at 402  at 10am today 440  now 530
"@usairways Row 16, flight 634 today if you're looking for specifics! I can run to Home Depot for the WD40 you if you need.",negative,row 16  flight 634 today if you re looking for specifics  i can run to home depot for the wd40 you if you need 
@united customer service what's That???,negative,customer service what s that   
"@AmericanAir Flight 2954, Dallas to Grand Junction #AmazingFlightCrew",positive,flight 2954  dallas to grand junction  amazingflightcrew
@SouthwestAir yeah they told me it would be on the next flight. I drove down and it wasnt. I just drove down for a second time and they were,negative,yeah they told me it would be on the next flight  i drove down and it wasnt  i just drove down for a second time and they were
@SouthwestAir there's an hour wait here for reFlight Booking Problems in line at Omaha.,negative,there s an hour wait here for reflight booking problems in line at omaha 
@USAirways just Cancelled Flighted my flight and told me to call to rebook. Been on hold for 48 minutes at 4 am and still waiting,negative,just cancelled flighted my flight and told me to call to rebook  been on hold for 48 minutes at 4 am and still waiting
@USAirways three hours on hold then disconnected. Conf EBHSET. Need to be home Sunday for interview,negative,three hours on hold then disconnected  conf ebhset  need to be home sunday for interview
“@AmericanAir: Bet these birds wish they'd flown south for the #winter... http://t.co/tY9C0Gae2o” Lol,neutral,  americanair  bet these birds wish they d flown south for the  winter    lol
@USAirways we appreciate auto rescheduling our Cancelled Flightled flight-- but you have nothing sooner than Tuesday? can fly into alternate loc?,negative,we appreciate auto rescheduling our cancelled flightled flight   but you have nothing sooner than tuesday  can fly into alternate loc 
@united Hi have a question re future Flight Booking Problems. DUB-JAC 29/9 JAC-LAX 8/10 LAX-DUB 13/10. I'm *G. What is checked bag allowance for JAC-LAX?,neutral,hi have a question re future flight booking problems  dub jac 29 9 jac lax 8 10 lax dub 13 10  i m  g  what is checked bag allowance for jac lax 
@SouthwestAir no flights out of #nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!,negative,no flights out of  nashville today  are you kidding me     why are other airlines flying and you re not   so frustrated  
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",negative,is todays flight from palm springs  ca to jfk in ny cancelled flightled 
@united I would have made it if you hadn't already booked me on another flight and Cancelled Flighted my original reservation.,negative,i would have made it if you hadn t already booked me on another flight and cancelled flighted my original reservation 
@USAirways @jtrexsocial i fell asleep from a call i placed midght.. guess what still on hold 7 am,negative,i fell asleep from a call i placed midght   guess what still on hold 7 am
@AmericanAir @united @SpiritAirPR  @Fioretti2ndWard @ChicagosMayor @garcia4chicago BS that #Noise #Late Flight #NoRahm http://t.co/CFzdJmn0uI,negative,bs that  noise  late flight  norahm
"@SouthwestAir I'm really craving your pretzels, please send me some.",positive,i m really craving your pretzels  please send me some 
@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy,negative, newarkliberty airport need to indicate different gate  s for terminals a amp c   flyingainteasy
@united where is my bag?? I'm in Mexico about to go build a house &amp; my suitcase never got on my flight from CLE w me. I need it. SAN68059M,negative,where is my bag   i m in mexico about to go build a house  amp  my suitcase never got on my flight from cle w me  i need it  san68059m
@AmericanAir origin/destination/dates are the same. Going from US Airways connecting flight to AA direct flight. Award is saver level.,neutral,origin destination dates are the same  going from us airways connecting flight to aa direct flight  award is saver level 
@USAirways Seat 8D on Flight 545 last night is the worst seat I've ever been in.  No leg room! #dividendsmember http://t.co/NUhpLNXRIq,negative,seat 8d on flight 545 last night is the worst seat i ve ever been in  no leg room   dividendsmember
"@JetBlue the first place but I really didn't need the extra stress at this already terrible time. Oh by the way, I made the flight with 30",negative,the first place but i really didn t need the extra stress at this already terrible time  oh by the way  i made the flight with 30
@AmericanAir It's sad how I can't afford any long distance trips though. :/,negative,it s sad how i can t afford any long distance trips though    
"@AmericanAir @GolfWithWoody Don't buy it, Woody. They're making it MUCH worse with understaffing, rudeness, and pre-rookie mistakes",negative,don t buy it  woody  they re making it much worse with understaffing  rudeness  and pre rookie mistakes
@JetBlue while in Haiti Id do food distribution for hundreds of hungry kids in nearby villages. #flyingitforward http://t.co/lTf2quD3Xc,neutral,while in haiti id do food distribution for hundreds of hungry kids in nearby villages   flyingitforward
"@AmericanAir Will it be this year, do you think?",negative,will it be this year  do you think 
"@united what, you forgot to tell them the flight was coming... Thanks for allowing me to miss my connection",negative,what  you forgot to tell them the flight was coming    thanks for allowing me to miss my connection
.@USAirways I guess from now on I should take my chances &amp; keep the $50 for the courtesy free because it seems cabin is always full.,negative,  usairways i guess from now on i should take my chances  amp  keep the  50 for the courtesy free because it seems cabin is always full 
@united okay. Thanks.,neutral,okay  thanks 
@SouthwestAir love them! Always get the best deals!,positive,love them  always get the best deals 
@USAirways Cant help but be frustrated after an hour call with u ends up with a disconnection and no answers especially as div pref member.,negative,cant help but be frustrated after an hour call with u ends up with a disconnection and no answers especially as div pref member 
@united flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,negative,flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491
@USAirways what is going on with the computers? Why is my flight grounded? Why does your airline suck so much? #UnansweredQuestions,negative,what is going on with the computers  why is my flight grounded  why does your airline suck so much   unansweredquestions
"@USAirways @AuroraBIZ check your bag, @PHLAirport bag handlers broke into my suitcase and stole my camera, bag was returned in a trash bag",negative,check your bag  bag handlers broke into my suitcase and stole my camera  bag was returned in a trash bag
@USAirways @AmericanAir  is there anyone answering phones today??? Listening to same damn messages for 1:10 minutes,negative,is there anyone answering phones today    listening to same damn messages for 1 10 minutes
@united any news?,neutral,any news 
@AmericanAir Huge thanks for fixing our flights! appreciate the customer service. now if only i could get seats assigned: me next to my wife,positive,huge thanks for fixing our flights  appreciate the customer service  now if only i could get seats assigned  me next to my wife
@USAirways We're having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!,positive,we re having 2 grandbabies in 2 weeks    will travel to dc for the births  thank you for the reasonable fares  see you saturday 
"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service.",negative,friend stuck in bus on runway at pek with two small kids no customer service  no explanation  kids crying  awful service 
@USAirways gold desk quoting me $900 to rebook due to weather. Can buy first seat on same flight for $440. Why? On hold for 45+ mins now,negative,gold desk quoting me  900 to rebook due to weather  can buy first seat on same flight for  440  why  on hold for 45  mins now
